District,Buddhist,Hindu,Islam,Christianity,Other,Reg.Votes
Colombo,70.7,7.9,11.8,9.6,0.1, 1586598
Gampaha,71.5,2.3,5,21.2,0.1,1637537
Kalutara,83.5,3.3,9.4,3.8,0,897349
Kandy,73.4,9.8,14.3,2.5,0,1049160
Matale,79.5,9.1,9.3,2,0,379675
Nuwara Eliya,39.1,51.1,3,6.6,0.1,534150
Galle,94,1.5,3.7,0.9,0,819666
Matara,94.2,2,3.2,0.7,0,623818
Hambantota,96.8,0.2,2.5,0.5,0.1,462911
Jaffna,0.4,82.9,0.4,16.2,0.1,529239
Vanni,5.38,62.88,6.68,24.93,0.1,253058
Batticaloa,1.1,64.6,25.5,8.8,0,365167
Ampara,38.6,15.8,43.6,1.9,0,465757
Trincomalee,26.1,25.9,42.1,5.8,0,256852
Kurunegala,88.6,0.9,7.3,3.2,0,1266443
Puttalam,43.2,3.8,20,32.8,0.2,553009
Anuradhapura,90.2,0.4,8.3,1.1,0,636733
Polonnaruwa,89.7,1.7,7.5,1,0,307125
Badulla,72.6,19.4,5.8,2.1,0,620486
Monaragala,94.5,2.8,2.2,0.5,0,339797
Ratnapura,86.8,9.3,2.3,1.6,0,810082
Kegalle,84.6,6.5,7.2,1.7,0,649878
